SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR22-02210991,Lead Inspection Request,HDF,,Health,Completed,Internet,12/30/2022 09:09:34 PM,02/23/2023 10:24:29 AM,02/23/2023 10:24:29 AM,1630 W COLUMBIA AVE,,,,1630,W,COLUMBIA,AVE,false,false,,,1,49,,L006,3,24,2432,28,,21,6,12,1163988.66982199,1944991.039312002,42.004692001,-87.672033,"(42.004692000940885, -87.6720330000019)"
SR22-02207583,Lead Inspection Request,HDF,,Health,Completed,Internet,12/30/2022 10:52:03 AM,02/16/2023 03:29:13 PM,02/16/2023 03:29:13 PM,1011 N LAWNDALE AVE,,,,1011,N,LAWNDALE,AVE,false,false,,,23,27,,G020,1,11,1112,29,,10,6,12,1151594.98468063,1906564.35712764,41.899500001,-87.718644,"(41.89950000094052, -87.71864400000192)"
SR22-02198400,Lead Inspection Request,HDF,311 City Services,Health,Completed,Phone Call,12/28/2022 07:00:06 PM,02/14/2023 01:18:51 PM,02/14/2023 01:18:51 PM,11500 S EGGLESTON AVE,,,,11500,S,EGGLESTON,AVE,false,false,,,53,21,,O050,2,05,0522,11,,19,4,12,1175343.080987269,1828630.243921145,41.685140736,-87.633747238,"(41.6851407362131, -87.6337472382559)"
SR22-02192848,Lead Inspection Request,HDF,311 City Services,Health,Completed,Phone Call,12/27/2022 07:27:40 PM,02/23/2023 10:28:23 AM,02/23/2023 10:28:23 AM,116 E 117TH PL,,,,116,E,117TH,PL,false,false,,,53,9,,Q050,3,05,0532,7,,19,3,12,1179156.541788237,1827119.061265829,41.680908001,-87.619833,"(41.680908000939716, -87.6198330000019)"
SR22-02180789,Lead Inspection Request,HDF,,Health,Completed,Internet,12/23/2022 10:23:50 PM,03/02/2023 10:54:35 AM,03/02/2023 10:54:35 AM,2856 S LOCK ST,,,,2856,S,LOCK,ST,false,false,,,60,11,,M028,1,09,0913,1,,22,6,12,1167349.295487826,1885281.948618142,41.840775001,-87.6613905,"(41.840775000940305, -87.6613905000019)"
SR22-02172547,Lead Inspection Request,HDF,311 City Services,Health,Completed,Phone Call,12/22/2022 08:25:55 AM,12/22/2022 09:40:56 AM,12/22/2022 09:40:56 AM,719 W 54TH PL,,,,719,W,54TH,PL,false,false,,,61,16,,O034,3,09,0935,6,,8,5,12,1172343.710922801,1868663.61424873,41.795064001,-87.6435525,"(41.79506400094014, -87.64355250000192)"
SR22-02172541,Lead Inspection Request,HDF,311 City Services,Health,Completed,Phone Call,12/22/2022 08:25:38 AM,12/22/2022 09:58:23 AM,12/22/2022 09:58:23 AM,719 W 54TH PL,,,,719,W,54TH,PL,false,false,,,61,16,,O034,3,09,0935,6,,8,5,12,1172343.710922801,1868663.61424873,41.795064001,-87.6435525,"(41.79506400094014, -87.64355250000192)"
SR22-02159081,Lead Inspection Request,HDF,,Health,Completed,Internet,12/19/2022 06:30:06 PM,12/21/2022 10:50:35 AM,12/21/2022 10:50:35 AM,4158 W MADISON ST,,,,4158,W,MADISON,ST,false,false,,,26,28,,F022,1,11,1115,24,,18,2,12,1148446.342489456,1899766.040015302,41.880906001,-87.7303845,"(41.88090600094048, -87.73038450000193)"
SR22-02157593,Lead Inspection Request,HDF,,Health,Completed,Internet,12/19/2022 02:11:51 PM,12/22/2022 09:14:03 AM,12/22/2022 09:14:03 AM,3816 N OAK PARK AVE,,,,3816,N,OAK PARK,AVE,false,false,,,17,38,,Y113,3,16,1632,38,,14,2,12,1130298.821724491,1924696.163108412,41.949648001,-87.796449,"(41.94964800094068, -87.79644900000191)"
SR22-02145793,Lead Inspection Request,HDF,,Health,Completed,Internet,12/16/2022 02:34:58 PM,12/23/2022 01:29:49 PM,12/23/2022 01:29:49 PM,7026 S CREGIER AVE,,,,7026,S,CREGIER,AVE,false,false,,,43,5,,U038,3,03,0332,28,,14,6,12,1189229.030533976,1858621.432033763,41.767119001,-87.5819565,"(41.76711900094008, -87.58195650000192)"
SR22-02139342,Lead Inspection Request,HDF,311 City Services,Health,Completed,Phone Call,12/15/2022 01:22:25 PM,12/22/2022 02:18:23 PM,12/22/2022 02:18:23 PM,4317 W 21ST PL,,,,4317,W,21ST,PL,false,false,,,29,24,,F026,1,10,1012,29,,13,5,12,1147846.523631662,1889332.267052543,41.852286001,-87.732855,"(41.85228600094034, -87.73285500000192)"
SR22-02122485,Lead Inspection Request,HDF,,Health,Completed,Internet,12/12/2022 02:58:32 PM,03/14/2023 07:59:47 AM,03/14/2023 07:59:47 AM,1618 W BRYN MAWR AVE,,,,1618,W,BRYN MAWR,AVE,false,false,,,77,40,,L008,1,20,2012,33,,14,2,12,1164403.815384783,1937339.07892289,41.983686001,-87.6707235,"(41.983686000940814, -87.6707235000019)"
SR22-02109774,Lead Inspection Request,HDF,311 City Services,Health,Completed,Phone Call,12/09/2022 01:09:05 PM,12/22/2022 09:29:48 AM,12/22/2022 09:29:48 AM,4865 W NEWPORT AVE,,,,4865,W,NEWPORT,AVE,false,false,,,15,31,,D014,3,16,1634,34,,13,6,12,1143078.947274152,1922408.445302898,41.943141001,-87.7495275,"(41.94314100094065, -87.74952750000192)"
SR22-02108052,Lead Inspection Request,HDF,311 City Services,Health,Completed,Phone Call,12/09/2022 09:48:32 AM,01/09/2023 10:49:19 AM,01/09/2023 10:49:19 AM,7038 S ST LAWRENCE AVE,,,,7038,S,ST LAWRENCE,AVE,false,false,,,69,6,,R038,2,03,0322,7,,9,6,12,1181376.766535042,1858311.447969741,41.766453001,-87.6107475,"(41.76645300094005, -87.6107475000019)"
