SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR22-02214726,No Water Complaint,WBJ,,DWM - Department of Water Management,Completed,Internet,12/31/2022 09:59:30 PM,12/31/2022 10:22:26 PM,12/31/2022 10:22:26 PM,1148 N KEELER AVE,,,,1148,N,KEELER,AVE,false,false,,,23,37,,F020,1,11,1111,4,,21,7,12,1148081.90538956,1907520.098071336,41.902191001,-87.731523,"(41.90219100094053, -87.73152300000191)"
SR22-02214655,No Water Complaint,WBJ,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,12/31/2022 09:18:34 PM,12/31/2022 09:21:18 PM,12/31/2022 09:21:18 PM,5525 S NEVA AVE,,,,5525,S,NEVA,AVE,false,false,,,56,13,,Y135,1,08,0811,36,,21,7,12,1129701.628075299,1866936.872500406,41.791158001,-87.7999635,"(41.79115800094011, -87.79996350000192)"
SR22-02213377,No Water Complaint,WBJ,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/31/2022 01:07:14 PM,12/31/2022 08:46:08 PM,12/31/2022 08:46:08 PM,4153 N LINCOLN AVE,,,,4153,N,LINCOLN,AVE,false,false,,,5,47,,K012,1,19,1911,12,,13,7,12,1161755.773375186,1927738.359662451,41.957397001,-87.6807315,"(41.957397000940745, -87.6807315000019)"
SR22-02213109,No Water Complaint,WBJ,,DWM - Department of Water Management,Completed,Mobile Device,12/31/2022 11:19:58 AM,12/31/2022 02:07:43 PM,12/31/2022 02:07:43 PM,6725 S PAXTON AVE,,,,6725,S,PAXTON,AVE,false,false,,,43,5,,V038,3,03,0331,40,,11,7,12,1192207.654499295,1860677.833530114,41.772690001,-87.570972,"(41.772690000940074, -87.5709720000019)"
SR22-02213097,No Water Complaint,WBJ,,DWM - Department of Water Management,Completed,Mobile Device,12/31/2022 11:13:27 AM,12/31/2022 02:06:50 PM,12/31/2022 02:06:50 PM,6731 S PAXTON AVE,,,,6731,S,PAXTON,AVE,false,false,,,43,5,,V038,3,03,0331,40,,11,7,12,1192208.003355586,1860638.479089094,41.772582001,-87.570972,"(41.77258200094007, -87.5709720000019)"
SR22-02212875,No Water Complaint,WBJ,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/31/2022 10:16:17 AM,12/31/2022 02:05:25 PM,12/31/2022 02:05:25 PM,6733 S PAXTON AVE,,,,6733,S,PAXTON,AVE,false,false,,,43,5,,V038,3,03,0331,40,,10,7,12,1192208.148712152,1860622.081405549,41.772537001,-87.570972,"(41.77253700094008, -87.5709720000019)"
SR22-02212862,No Water Complaint,WBJ,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/31/2022 10:15:17 AM,12/31/2022 02:04:07 PM,12/31/2022 02:04:07 PM,6715 S PAXTON AVE,,,,6715,S,PAXTON,AVE,true,false,,SR22-02212066,43,5,,V038,3,03,0331,40,,10,7,12,1192226.241638386,1860658.319535674,41.772636001,-87.5709045,"(41.772636000940075, -87.5709045000019)"
SR22-02212440,No Water Complaint,WBJ,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,12/31/2022 09:42:31 AM,12/31/2022 10:24:56 AM,12/31/2022 10:24:56 AM,721 E 103RD PL,,,,721,E,103RD,PL,false,false,,,50,9,,R047,1,05,0512,1,,9,7,12,1182906.208452679,1836415.630215051,41.706333001,-87.60582,"(41.70633300093982, -87.6058200000019)"
SR22-02212066,No Water Complaint,WBJ,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/31/2022 08:03:08 AM,12/31/2022 02:04:06 PM,12/31/2022 02:04:06 PM,6715 S PAXTON AVE,,,,6715,S,PAXTON,AVE,false,false,,,43,5,,V038,3,03,0331,40,,8,7,12,1192226.241638386,1860658.319535674,41.772636001,-87.5709045,"(41.772636000940075, -87.5709045000019)"
SR22-02210869,No Water Complaint,WBJ,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,12/30/2022 08:16:11 PM,12/30/2022 08:19:18 PM,12/30/2022 08:19:18 PM,4300 W FORD CITY DR,,,,4300,W,FORD CITY,DR,false,false,,,65,18,,F040,3,08,0833,43,,20,6,12,1148729.204001526,1853504.419539838,41.753952001,-87.7305375,"(41.75395200094, -87.73053750000192)"
