SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR22-02214590,Nuisance Animal Complaint,EAB,,Animal Care and Control,Canceled,Internet,12/31/2022 08:42:16 PM,01/04/2023 08:58:41 AM,01/04/2023 08:58:41 AM,33 E CEDAR ST,,,,33,E,CEDAR,ST,false,false,,,8,42,,Q020,2,18,1824,1,,20,7,12,1176546.843985794,1907740.413365528,41.902200001,-87.626961,"(41.90220000094054, -87.62696100000191)"
SR22-02214514,Nuisance Animal Complaint,EAB,,Animal Care and Control,Canceled,Internet,12/31/2022 08:06:41 PM,01/01/2023 03:45:13 PM,01/01/2023 03:45:13 PM,730 E 88TH ST,,,,730,E,88TH,ST,false,false,,,44,8,,R043,3,06,0632,31,,20,7,12,1182776.179896861,1846860.499073135,41.734998001,-87.605973,"(41.734998000939925, -87.6059730000019)"
SR22-02213989,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Internet,12/31/2022 04:34:31 PM,01/01/2023 10:25:48 AM,01/01/2023 10:25:48 AM,7701 W BALMORAL AVE,,,,7701,W,BALMORAL,AVE,false,false,,,10,41,,W109,1,16,1613,13,,16,7,12,1123948.083732451,1934860.533439395,41.977647001,-87.81957,"(41.97764700094078, -87.8195700000019)"
SR22-02213510,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Internet,12/31/2022 01:46:21 PM,01/04/2023 05:22:53 PM,01/04/2023 05:22:53 PM,1133 W 104TH PL,,,,1133,W,104TH,PL,false,false,,,73,21,,N047,3,22,2232,35,,13,7,12,1170459.655696664,1835418.415462973,41.703876001,-87.6514275,"(41.70387600093982, -87.6514275000019)"
SR22-02213151,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Mobile Device,12/31/2022 11:37:20 AM,01/04/2023 02:57:44 PM,01/04/2023 02:57:44 PM,1632 W 100TH PL,,,,1632,W,100TH,PL,false,false,,,72,19,,L046,1,22,2213,27,,11,7,12,1167024.625611275,1838139.847778626,41.711418001,-87.6639285,"(41.711418000939865, -87.66392850000192)"
SR22-02212286,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Mobile Device,12/31/2022 09:15:25 AM,01/02/2023 11:26:06 AM,01/02/2023 11:26:06 AM,4514 N HARDING AVE,,,,4514,N,HARDING,AVE,false,false,,,14,33,,G011,2,17,1723,9,,9,7,12,1149165.325388119,1929803.983566991,41.963319001,-87.7269645,"(41.96331900094075, -87.7269645000019)"
SR22-02211438,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Completed,Phone Call,12/31/2022 02:25:42 AM,01/02/2023 04:35:28 PM,01/02/2023 04:35:28 PM,1501 W FULLER ST,,,,1501,W,FULLER,ST,false,false,,,60,11,,M028,1,09,0913,1,,2,7,12,1166786.365522947,1885905.933645661,41.842499343,-87.663438378,"(41.84249934276485, -87.66343837811903)"
SR22-02211154,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Internet,12/30/2022 10:31:44 PM,01/01/2023 12:45:31 PM,01/01/2023 12:45:31 PM,1630 N HUMBOLDT BLVD,,,,1630,N,HUMBOLDT,BLVD,false,false,,,23,26,,I018,2,14,1421,30,,22,6,12,1155934.893699979,1910839.889153819,41.911146001,-87.702588,"(41.91114600094054, -87.7025880000019)"
SR22-02209921,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Canceled,Phone Call,12/30/2022 03:50:32 PM,01/04/2023 12:59:12 PM,01/04/2023 12:59:12 PM,708 W 116TH PL,,,,708,W,116TH,PL,false,false,,,53,21,,O050,2,05,0524,33,,15,6,12,1173606.036379309,1827887.113588536,41.683140001,-87.640128,"(41.68314000093974, -87.64012800000192)"
SR22-02209636,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Canceled,Phone Call,12/30/2022 02:54:21 PM,12/31/2022 09:17:49 AM,12/31/2022 09:17:49 AM,3148 S KOMENSKY AVE,,,,3148,S,KOMENSKY,AVE,false,false,,,30,22,,F029,3,10,1031,16,,14,6,12,1149813.599956058,1883196.61311277,41.835411001,-87.7257945,"(41.83541100094028, -87.72579450000191)"
SR22-02208160,Nuisance Animal Complaint,EAB,,Animal Care and Control,Canceled,Internet,12/30/2022 12:14:35 PM,12/30/2022 12:50:43 PM,12/30/2022 12:50:43 PM,6119 S MORGAN ST,,,,6119,S,MORGAN,ST,false,false,,,68,16,,N036,1,07,0712,27,,12,6,12,1170772.230741798,1864125.006615155,41.782644001,-87.6494475,"(41.7826440009401, -87.64944750000191)"
SR22-02208156,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Canceled,Phone Call,12/30/2022 12:14:14 PM,12/30/2022 12:26:52 PM,12/30/2022 12:26:52 PM,10927 S TRUMBULL AVE,,,,10927,S,TRUMBULL,AVE,false,false,,,74,19,,H048,1,22,2211,54,,12,6,12,1155363.167335512,1831814.16831913,41.694300001,-87.7068045,"(41.694300000939776, -87.70680450000191)"
SR22-02208042,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Canceled,Phone Call,12/30/2022 12:00:59 PM,12/30/2022 12:32:18 PM,12/30/2022 12:32:18 PM,2635 S TRIPP AVE,,,,2635,S,TRIPP,AVE,false,false,,,30,22,,F028,3,10,1031,6,,12,6,12,1148550.38910903,1885998.436003185,41.843124001,-87.7303575,"(41.84312400094035, -87.73035750000193)"
SR22-02208030,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Canceled,Phone Call,12/30/2022 12:00:02 PM,12/30/2022 12:33:04 PM,12/30/2022 12:33:04 PM,2625 S TRIPP AVE,,,,2625,S,TRIPP,AVE,false,false,,,30,22,,F028,3,10,1031,6,,12,6,12,1148496.581541099,1886102.20710231,41.843409799,-87.73055229,"(41.84340979898206, -87.73055229026612)"
SR22-02207444,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Completed,Phone Call,12/30/2022 10:36:25 AM,12/30/2022 11:48:34 AM,12/30/2022 11:48:34 AM,10921 S TRUMBULL AVE,,,,10921,S,TRUMBULL,AVE,false,false,,,74,19,,H048,1,22,2211,54,,10,6,12,1155362.761814184,1831869.919507686,41.694453001,-87.7068045,"(41.69445300093975, -87.7068045000019)"
SR22-02204993,Nuisance Animal Complaint,EAB,Streets and Sanitation,Animal Care and Control,Canceled,Salesforce Mobile App,12/29/2022 09:27:38 PM,12/30/2022 07:51:15 AM,12/30/2022 07:51:15 AM,820 E 92ND,,,,820,E,92ND,,false,false,,,44,8,,S044,3,06,0633,15,,21,5,12,1183447.123756405,1844219.423547466,41.727735001,-87.603597,"(41.72773500093991, -87.6035970000019)"
SR22-02204330,Nuisance Animal Complaint,EAB,,Animal Care and Control,Canceled,Internet,12/29/2022 06:17:38 PM,12/30/2022 07:53:24 AM,12/30/2022 07:53:24 AM,5223 S FRANCISCO AVE,,,,5223,S,FRANCISCO,AVE,false,false,,,63,14,,I034,2,09,0923,19,,18,5,12,1157996.175287933,1869776.217172344,41.798421001,-87.696135,"(41.798421000940145, -87.6961350000019)"
SR22-02203620,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Internet,12/29/2022 03:57:24 PM,12/31/2022 01:25:22 PM,12/31/2022 01:25:22 PM,2933 W CHASE AVE,,,,2933,W,CHASE,AVE,false,false,,,2,50,,I004,1,24,2411,1,,15,5,12,1155436.321377181,1948167.031857193,42.013584001,-87.7034115,"(42.01358400094092, -87.70341150000192)"
SR22-02203543,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Completed,Phone Call,12/29/2022 03:46:06 PM,01/03/2023 11:10:26 AM,01/03/2023 11:10:26 AM,8121 S COMMERCIAL AVE,,,,8121,S,COMMERCIAL,AVE,false,false,,,46,7,,X041,2,04,0422,25,,15,5,12,1197669.596169138,1851599.195866463,41.747643001,-87.551253,"(41.74764300093999, -87.5512530000019)"
SR22-02203058,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Canceled,Phone Call,12/29/2022 02:41:07 PM,12/30/2022 07:51:46 AM,12/30/2022 07:51:46 AM,820 E 92ND ST,,,,820,E,92ND,ST,false,false,,,44,8,,S044,3,06,0633,15,,14,5,12,1183447.123756405,1844219.423547466,41.727735001,-87.603597,"(41.72773500093991, -87.6035970000019)"
SR22-02202656,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Internet,12/29/2022 01:51:52 PM,12/29/2022 05:20:09 PM,12/29/2022 05:20:09 PM,3635 S HALSTED ST,,,,3635,S,HALSTED,ST,false,false,,,60,11,,O030,1,09,0915,21,,13,5,12,1171643.03954625,1880622.575414958,41.827896001,-87.645771,"(41.82789600094025, -87.64577100000191)"
SR22-02201969,Nuisance Animal Complaint,EAB,,Animal Care and Control,Canceled,Mobile Device,12/29/2022 12:32:06 PM,12/29/2022 01:03:35 PM,12/29/2022 01:03:35 PM,2654 W WINNEMAC AVE,,,,2654,W,WINNEMAC,AVE,false,false,,,4,40,,J010,3,20,2031,3,,12,5,12,1157532.631901677,1933521.696996344,41.973354001,-87.696099,"(41.97335400094077, -87.69609900000192)"
SR22-02201435,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Completed,Phone Call,12/29/2022 11:29:30 AM,01/04/2023 05:00:43 PM,01/04/2023 05:00:43 PM,10205 S MAY ST,,,,10205,S,MAY,ST,false,false,,,73,21,,N046,3,22,2232,25,,11,5,12,1170535.11429006,1837062.141977969,41.708385001,-87.6511035,"(41.70838500093985, -87.6511035000019)"
SR22-02201335,Nuisance Animal Complaint,EAB,,Animal Care and Control,Canceled,Internet,12/29/2022 11:17:29 AM,12/29/2022 12:50:49 PM,12/29/2022 12:50:49 PM,2507 N PARKSIDE AVE,,,,2507,N,PARKSIDE,AVE,true,false,,SR22-02201206,19,30,,B016,1,25,2515,6,,11,5,12,1138368.636010085,1916168.260603451,41.926104001,-87.766992,"(41.926104000940626, -87.76699200000192)"
SR22-02201206,Nuisance Animal Complaint,EAB,,Animal Care and Control,Canceled,Internet,12/29/2022 11:01:02 AM,12/29/2022 12:50:49 PM,12/29/2022 12:50:49 PM,2507 N PARKSIDE AVE,,,,2507,N,PARKSIDE,AVE,false,false,,,19,30,,B016,1,25,2515,6,,11,5,12,1138368.636010085,1916168.260603451,41.926104001,-87.766992,"(41.926104000940626, -87.76699200000192)"
