SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR22-02214709,Restaurant Complaint,HFB,,Health,Completed,Internet,12/31/2022 09:47:27 PM,01/17/2023 08:27:19 AM,01/17/2023 08:27:19 AM,2108 S PRINCETON AVE,,,,2108,S,PRINCETON,AVE,false,false,,,34,11,,P026,1,09,0914,14,,21,7,12,1174156.421755297,1890118.126669076,41.853897001,-87.636267,"(41.85389700094032, -87.63626700000191)"
SR22-02214698,Restaurant Complaint,HFB,,Health,Completed,Internet,12/31/2022 09:39:54 PM,01/06/2023 09:26:02 AM,01/06/2023 09:26:02 AM,1651 N WESTERN AVE,,,,1651,N,WESTERN,AVE,false,false,,,24,32,,K018,3,14,1434,2,,21,7,12,1160195.597028788,1911114.314850596,41.911812001,-87.686928,"(41.91181200094056, -87.6869280000019)"
SR22-02214644,Restaurant Complaint,HFB,311 City Services,Health,Completed,Phone Call,12/31/2022 09:10:11 PM,01/03/2023 03:10:34 PM,01/03/2023 03:10:34 PM,3500 S DR MARTIN LUTHER KING JR DR,,,,3500,S,DR MARTIN LUTHER KING JR,DR,false,false,,,35,4,,Q030,1,02,0212,11,,21,7,12,1179372.083079721,1881836.594686746,41.831054119,-87.617377154,"(41.83105411900596, -87.61737715427833)"
SR22-02214523,Restaurant Complaint,HFB,311 City Services,Health,Completed,Phone Call,12/31/2022 08:09:51 PM,01/06/2023 09:33:09 AM,01/06/2023 09:33:09 AM,414 N ORLEANS ST,,,,414,N,ORLEANS,ST,false,false,,,8,42,,P021,3,18,1831,17,,20,7,12,1173706.145978617,1903164.810005866,41.889708001,-87.6375315,"(41.88970800094048, -87.6375315000019)"
SR22-02212113,Restaurant Complaint,HFB,311 City Services,Health,Completed,Phone Call,12/31/2022 08:12:07 AM,03/23/2023 11:40:42 AM,03/23/2023 11:40:42 AM,69 E 75TH ST,,,,69,E,75TH,ST,false,false,,,69,6,,Q040,2,06,0623,16,,8,7,12,1178321.888666266,1855232.535033689,41.758074001,-87.622038,"(41.758074000940006, -87.62203800000191)"
SR22-02211937,Restaurant Complaint,HFB,,Health,Completed,Mobile Device,12/31/2022 07:33:42 AM,01/17/2023 08:03:33 AM,01/17/2023 08:03:33 AM,1614 W ROSCOE ST,,,,1614,W,ROSCOE,ST,false,false,,,6,47,,L014,2,19,1922,6,,7,7,12,1164862.218467343,1922708.011682429,41.943528001,-87.6694545,"(41.943528000940695, -87.6694545000019)"
SR22-02211920,Restaurant Complaint,HFB,,Health,Completed,Mobile Device,12/31/2022 07:31:27 AM,01/06/2023 09:49:43 AM,01/06/2023 09:49:43 AM,3408 N ASHLAND AVE,,,,3408,N,ASHLAND,AVE,false,false,,,6,47,,L014,2,19,1922,6,,7,7,12,1164872.627036142,1922786.808030668,41.943744001,-87.669414,"(41.943744000940654, -87.66941400000192)"
SR22-02210867,Restaurant Complaint,HFB,,Health,Completed,Mobile Device,12/30/2022 08:14:56 PM,01/04/2023 12:29:24 PM,01/04/2023 12:29:24 PM,3040 N LARAMIE AVE,,,,3040,N,LARAMIE,AVE,false,false,,,19,31,,C015,1,25,2514,25,,20,6,12,1141153.418141103,1919905.609352058,41.936308741,-87.756666754,"(41.93630874130362, -87.75666675371797)"
SR22-02210843,Restaurant Complaint,HFB,311 City Services,Health,Completed,Phone Call,12/30/2022 08:06:02 PM,01/17/2023 02:47:30 PM,01/17/2023 02:47:30 PM,730 W GRAND AVE,,,,730,W,GRAND,AVE,false,false,,,24,27,,O021,1,12,1214,11,,20,6,12,1171092.679299615,1903750.527979024,41.891373001,-87.647112,"(41.891373000940504, -87.64711200000191)"
SR22-02210342,Restaurant Complaint,HFB,311 City Services,Health,Completed,Phone Call,12/30/2022 05:37:13 PM,01/19/2023 02:15:24 PM,01/19/2023 02:15:24 PM,2556 N CLARK ST,,,,2556,N,CLARK,ST,false,false,,,7,43,,O016,3,19,1935,40,,17,6,12,1172155.596473766,1917531.020995324,41.929164001,-87.642801,"(41.92916400094065, -87.6428010000019)"
SR22-02210337,Restaurant Complaint,HFB,,Health,Canceled,Internet,12/30/2022 05:34:57 PM,01/04/2023 01:08:49 PM,01/04/2023 01:08:49 PM,500 W ROOSEVELT RD,,,,500,W,ROOSEVELT,RD,false,false,,,28,28,,O024,2,01,0124,27,,17,6,12,1173208.506339633,1895148.215638845,41.867721001,-87.639597,"(41.86772100094042, -87.6395970000019)"
SR22-02210031,Restaurant Complaint,HFB,,Health,Completed,Internet,12/30/2022 04:15:48 PM,01/17/2023 08:50:43 AM,01/17/2023 08:50:43 AM,5318 N CLARK ST,,,,5318,N,CLARK,ST,false,false,,,77,40,,M009,1,20,2012,31,,16,6,12,1164997.997472449,1935506.970442658,41.978646001,-87.6685905,"(41.978646000940756, -87.6685905000019)"
SR22-02209385,Restaurant Complaint,HFB,,Health,Open,Mobile Device,12/30/2022 02:24:05 PM,12/30/2022 02:24:06 PM,,1510 W MADISON ST,,,,1510,W,MADISON,ST,false,false,,,28,27,,M022,2,12,1224,2,,14,6,12,1166227.400312546,1900228.984827631,41.881815001,-87.6650805,"(41.88181500094048, -87.66508050000192)"
SR22-02207794,Restaurant Complaint,HFB,311 City Services,Health,Completed,Phone Call,12/30/2022 11:22:23 AM,01/17/2023 08:37:05 AM,01/17/2023 08:37:05 AM,2340 W MADISON ST,,,,2340,W,MADISON,ST,false,false,,,28,27,,K022,2,12,1223,17,,11,6,12,1160874.551617189,1900050.166455409,41.881437001,-87.684741,"(41.88143700094046, -87.68474100000192)"
SR22-02207588,Restaurant Complaint,HFB,311 City Services,Health,Completed,Phone Call,12/30/2022 10:52:56 AM,01/17/2023 08:24:43 AM,01/17/2023 08:24:43 AM,2477 S ARCHER AVE,,,,2477,S,ARCHER,AVE,false,false,,,60,11,,O027,1,09,0914,10,,10,6,12,1171564.921491616,1887624.27466614,41.847111001,-87.645852,"(41.847111000940345, -87.64585200000191)"
SR22-02207133,Restaurant Complaint,HFB,311 City Services,Health,Completed,Phone Call,12/30/2022 09:58:42 AM,01/17/2023 09:39:03 AM,01/17/2023 09:39:03 AM,8740 S LAFAYETTE AVE,,,,8740,S,LAFAYETTE,AVE,false,false,,,44,21,,P043,3,06,0634,44,,9,6,12,1177455.765090641,1846768.656596718,41.734867707,-87.625467412,"(41.734867707010324, -87.62546741239133)"
SR22-02206912,Restaurant Complaint,HFB,311 City Services,Health,Completed,Phone Call,12/30/2022 09:29:03 AM,01/11/2023 11:42:48 AM,01/11/2023 11:42:48 AM,2101 E 71ST ST,,,,2101,E,71ST,ST,false,false,,,43,5,,V039,3,03,0333,36,,9,6,12,1191420.938725716,1857876.491768199,41.765022001,-87.5739465,"(41.765022000940064, -87.5739465000019)"
