SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR22-02209149,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,12/30/2022 01:59:28 PM,01/03/2023 08:04:35 AM,01/03/2023 08:04:35 AM,3560 W HOLLYWOOD AVE,,,,3560,W,HOLLYWOOD,AVE,false,false,,,13,39,,H008,1,17,1711,18,,13,6,12,1151418.17421627,1937704.694099418,41.984955001,-87.718473,"(41.98495500094081, -87.71847300000192)"
SR22-02208839,Water Quality Concern,WCA,DWM - Department of Water Management,DWM - Department of Water Management,Completed,Phone Call,12/30/2022 01:28:39 PM,01/26/2023 03:34:26 PM,01/26/2023 03:34:26 PM,401 W FULLERTON AVE,,,,401,W,FULLERTON,AVE,false,false,,,7,43,,O017,1,18,1814,12,,13,6,12,1173154.911019566,1916164.840409851,41.925393001,-87.6391695,"(41.92539300094062, -87.6391695000019)"
SR22-02203174,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Open,Phone Call,12/29/2022 02:52:06 PM,01/03/2023 09:33:43 AM,,2812 S KEELER AVE,,,,2812,S,KEELER,AVE,false,false,,,30,22,,F028,3,10,1031,20,,14,5,12,1148771.649237714,1884875.044601055,41.840037001,-87.7295745,"(41.84003700094031, -87.72957450000192)"
SR22-02201773,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/29/2022 12:13:04 PM,01/03/2023 09:29:41 AM,01/03/2023 09:29:41 AM,3826 N KENMORE AVE,,,,3826,N,KENMORE,AVE,false,false,,,6,46,,N013,2,19,1923,5,,12,5,12,1168513.095649142,1925813.057313824,41.951970001,-87.6559455,"(41.95197000094072, -87.6559455000019)"
SR22-02196617,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/28/2022 01:18:12 PM,12/29/2022 10:11:13 AM,12/29/2022 10:11:13 AM,7322 S CLAREMONT AVE,,,,7322,S,CLAREMONT,AVE,false,false,,,66,18,,K039,3,08,0835,33,,13,4,12,1161932.013217897,1855929.22837638,41.760342001,-87.682086,"(41.760342000940014, -87.6820860000019)"
SR22-02195981,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,12/28/2022 11:48:54 AM,02/21/2023 03:52:14 PM,02/21/2023 03:52:14 PM,10034 S CRANDON AVE,,,,10034,S,CRANDON,AVE,false,false,,,51,7,,V046,3,04,0431,42,,11,4,12,1193424.4764985,1838723.962500288,41.712417001,-87.567228,"(41.712417000939865, -87.5672280000019)"
SR22-02189331,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,12/27/2022 09:20:53 AM,12/27/2022 10:18:17 AM,12/27/2022 10:18:17 AM,7447 S SOUTH SHORE DR,,,,7447,S,SOUTH SHORE,DR,false,false,,,43,7,,X039,3,03,0334,13,,9,3,12,1196216.311067662,1856545.081765181,41.761251001,-87.5564145,"(41.761251000940014, -87.5564145000019)"
SR22-02179653,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Open,Phone Call,12/23/2022 02:38:13 PM,12/27/2022 11:05:25 AM,,1040 W 14TH ST,,,,1040,W,14TH,ST,false,false,,,28,28,,N025,3,12,1232,4,,14,6,12,1169793.141648716,1893648.238812381,41.863680001,-87.652179,"(41.86368000094041, -87.65217900000192)"
SR22-02179425,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/23/2022 01:57:53 PM,12/27/2022 03:13:06 PM,12/27/2022 03:13:06 PM,6135 S MAY ST,,,,6135,S,MAY,ST,false,false,,,68,16,,N036,1,07,0712,27,,13,6,12,1169774.436979106,1863959.664387908,41.782212001,-87.6531105,"(41.78221200094011, -87.65311050000192)"
SR22-02179394,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/23/2022 01:50:47 PM,01/26/2023 03:08:36 PM,01/26/2023 03:08:36 PM,812 W VAN BUREN ST,,,,812,W,VAN BUREN,ST,false,false,,,28,34,,N023,3,12,1232,45,,13,6,12,1170883.433904217,1898497.891560163,41.876964001,-87.6480345,"(41.87696400094043, -87.6480345000019)"
SR22-02179174,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/23/2022 01:04:14 PM,02/07/2023 01:18:28 PM,02/07/2023 01:18:28 PM,4110 W GRENSHAW ST,,,,4110,W,GRENSHAW,ST,false,false,,,29,24,,F024,3,11,1132,22,,13,6,12,1149074.531330028,1894795.088689242,41.867253001,-87.7282065,"(41.867253000940394, -87.7282065000019)"
SR22-02177298,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,12/23/2022 06:04:35 AM,12/23/2022 09:53:22 AM,12/23/2022 09:53:22 AM,2608 S SHIELDS AVE,,,,2608,S,SHIELDS,AVE,false,false,,,34,11,,P028,1,09,0914,30,,6,6,12,1174322.156299471,1886921.676288271,41.845122001,-87.635754,"(41.845122000940336, -87.63575400000191)"
SR22-02173216,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/22/2022 09:50:19 AM,12/23/2022 09:24:13 AM,12/23/2022 09:24:13 AM,8118 S DANTE AVE,,,,8118,S,DANTE,AVE,false,false,,,45,8,,T041,1,04,0411,29,,9,5,12,1187202.535702225,1851326.003332731,41.747148001,-87.5896155,"(41.74714800093996, -87.5896155000019)"
SR22-02164534,Water Quality Concern,WCA,,DWM - Department of Water Management,Canceled,Mobile Device,12/20/2022 03:49:35 PM,12/21/2022 10:49:13 AM,12/21/2022 10:49:13 AM,6215 N BERNARD ST,,,,6215,N,BERNARD,ST,false,false,,,13,50,,H007,1,17,1711,25,,15,3,12,1152322.245516142,1941109.094519803,41.994279001,-87.7150575,"(41.99427900094085, -87.7150575000019)"
SR22-02163272,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/20/2022 01:20:42 PM,12/20/2022 03:55:08 PM,12/20/2022 03:55:08 PM,6720 S MERRILL AVE,,,,6720,S,MERRILL,AVE,false,false,,,43,5,,V038,3,03,0331,1,,13,3,12,1191613.248328379,1860705.369888213,41.772780001,-87.57315,"(41.772780000940074, -87.5731500000019)"
SR22-02162919,Water Quality Concern,WCA,,DWM - Department of Water Management,Canceled,Mobile Device,12/20/2022 12:41:44 PM,02/21/2023 03:48:44 PM,02/21/2023 03:48:44 PM,3600 N LAMON AVE,,,,3600,N,LAMON,AVE,false,false,,,15,30,,D013,3,16,1634,1,,12,3,12,1143019.768854414,1923507.139823699,41.946157026,-87.749717517,"(41.946157026347834, -87.74971751727905)"
SR22-02160220,Water Quality Concern,WCA,,DWM - Department of Water Management,Completed,Mobile Device,12/20/2022 06:20:56 AM,01/26/2023 03:07:18 PM,01/26/2023 03:07:18 PM,4727 N MALDEN ST,,,,4727,N,MALDEN,ST,false,false,,,3,46,,M011,1,19,1913,2,,6,3,12,1166703.404826087,1931646.771810474,41.968017001,-87.66243,"(41.96801700094075, -87.66243000000192)"
SR22-02158546,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,12/19/2022 04:16:19 PM,12/23/2022 09:44:09 AM,12/23/2022 09:44:09 AM,5348 S MAY ST,,,,5348,S,MAY,ST,false,false,,,61,16,,N034,3,09,0934,21,,16,2,12,1169495.442888173,1869132.895090806,41.796414001,-87.6539835,"(41.79641400094017, -87.6539835000019)"
SR22-02151357,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/18/2022 07:26:06 AM,02/07/2023 01:17:25 PM,02/07/2023 01:17:25 PM,733 E 84TH PL,,,,733,E,84TH,PL,false,false,,,44,6,,R042,3,06,0632,3,,7,1,12,1182622.590225095,1848902.484565544,41.740605001,-87.6064725,"(41.74060500093998, -87.60647250000191)"
SR22-02148634,Water Quality Concern,WCA,,DWM - Department of Water Management,Completed,Internet,12/17/2022 10:17:12 AM,12/19/2022 10:26:02 AM,12/19/2022 10:26:02 AM,7528 N OLCOTT AVE,,,,7528,N,OLCOTT,AVE,false,false,,,9,41,,X104,1,16,1611,40,,10,7,12,1125321.395039399,1949529.370548598,42.017877001,-87.8141925,"(42.017877000940906, -87.81419250000191)"
SR22-02146901,Water Quality Concern,WCA,,DWM - Department of Water Management,Canceled,Mobile Device,12/16/2022 06:23:56 PM,02/22/2023 10:59:18 AM,02/22/2023 10:59:18 AM,53 E PERSHING RD,,,,53,E,PERSHING,RD,false,false,,,38,3,,Q031,1,02,0213,24,,18,6,12,1177527.383406735,1879060.034158749,41.823477001,-87.6242295,"(41.823477000940265, -87.6242295000019)"
SR22-02142979,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/16/2022 08:32:23 AM,01/27/2023 01:47:57 PM,01/27/2023 01:47:57 PM,4922 W ALTGELD ST,,,,4922,W,ALTGELD,ST,false,false,,,19,31,,D016,2,25,2521,21,,8,6,12,1143052.22281061,1916261.980137389,41.926275001,-87.7497795,"(41.92627500094061, -87.7497795000019)"
SR22-02140856,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,12/15/2022 05:10:34 PM,12/16/2022 09:49:24 AM,12/16/2022 09:49:24 AM,1462 W 72ND PL,,,,1462,W,72ND,PL,false,false,,,67,17,,M039,3,07,0734,23,,17,5,12,1167587.20349413,1856733.61833072,41.762430001,-87.6613365,"(41.76243000094002, -87.66133650000192)"
SR22-02139316,Water Quality Concern,WCA,,DWM - Department of Water Management,Canceled,Internet,12/15/2022 01:18:25 PM,02/21/2023 03:48:22 PM,02/21/2023 03:48:22 PM,10747 S SAWYER AVE,,,,10747,S,SAWYER,AVE,false,false,,,74,19,,H048,1,22,2211,8,,13,5,12,1156667.256777219,1832981.409753313,41.697477001,-87.7019985,"(41.697477000939784, -87.70199850000192)"
SR22-02137563,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/15/2022 09:11:49 AM,12/15/2022 03:36:16 PM,12/15/2022 03:36:16 PM,2050 N LAMON AVE,,,,2050,N,LAMON,AVE,false,false,,,19,26,,D017,2,25,2522,6,,9,5,12,1143308.167598412,1913387.373611226,41.918382001,-87.748911,"(41.91838200094058, -87.74891100000191)"
SR22-02136220,Water Quality Concern,WCA,,DWM - Department of Water Management,Canceled,Mobile Device,12/14/2022 10:56:40 PM,02/21/2023 03:47:55 PM,02/21/2023 03:47:55 PM,6530 W BRYN MAWR AVE,,,,6530,W,BRYN MAWR,AVE,false,false,,,10,41,,Z108,1,16,1612,26,,22,4,12,1131643.894675537,1937512.098421934,41.984793001,-87.7912065,"(41.98479300094082, -87.79120650000192)"
SR22-02135063,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/14/2022 04:09:07 PM,02/22/2023 10:58:15 AM,02/22/2023 10:58:15 AM,3738 N NORA AVE,,,,3738,N,NORA,AVE,false,false,,,17,38,,Y113,3,16,1632,16,,16,4,12,1128596.516661071,1924216.558279899,41.948361001,-87.8027175,"(41.94836100094068, -87.8027175000019)"
