Docket Number,Violation Number,Issued_Date,Issuing Department,Last Hearing Date,Property Address,Violation Type,Entity or Person(s),Disposition Description,Total Fines,Total Administrative Costs,Interest Amount,Collection Costs or Attorney Fees,Court Cost,Original Total Amount Due,Total Paid,Current Amount Due,Latitude,Longitude,Location
22CP001725,P006023094|P006023095|P006023096|P006023097|P006023098|P006023099,1/10/2022,POLICE,3/4/2022 9:00,5836 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.78717783,-87.69010251,POINT (-87.69010251220999 41.78717783424199)
22CP001250,P006065062|P006065063|P006065064|P006065065|P006065066|P006065067,1/17/2022,POLICE,3/4/2022 9:00,5111 S UNION ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",City non-suit,0,0,0,0,0,0,0,0,41.80125559,-87.64274049,POINT (-87.64274049287219 41.80125558654073)
22CP001723,P006017460|P006017461|P006017462|P006017463|P006017464|P006017465,1/19/2022,POLICE,3/4/2022 9:00,3419 W 82ND ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK, ",City non-suit,0,0,0,0,0,0,0,0,,,
22CP001713,P006017470|P006017471|P006017472|P006017473|P006017474|P006017475,1/19/2022,POLICE,3/4/2022 9:00,7844 S TRUMBULL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.75024287,-87.70865275,POINT (-87.70865275272337 41.75024287340102)
22CP001346,P005893446|P005893447|P005893448|P005893449|P006065083|P006065084,1/22/2022,POLICE,3/4/2022 9:00,5147 S PAULINA ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST CO, ",City non-suit,0,0,0,0,0,0,0,0,41.79990636,-87.66702821,POINT (-87.66702820989542 41.79990636002708)
22CP002975,P006017573|P006017574|P006017575|P006017576|P006017577,2/1/2022,POLICE,4/1/2022 9:00,7844 S TRUMBULL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.75024287,-87.70865275,POINT (-87.70865275272337 41.75024287340102)
22CP002686,P006017589|P006017590|P006017591|P006017592|P006017593|P006017594,2/14/2022,POLICE,4/1/2022 9:00,5836 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.78717783,-87.69010251,POINT (-87.69010251220999 41.78717783424199)
22CP002983,P006017578|P006017579|P006017580|P006017581|P006017583,2/14/2022,POLICE,4/1/2022 9:00,3419 W 82ND ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK, ",City non-suit,0,0,0,0,0,0,0,0,,,
22CP004880,P006017653|P006017654|P006017655|P006017656|P006017657|P006017658,3/2/2022,POLICE,5/6/2022 9:00,7844 S TRUMBULL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.75024287,-87.70865275,POINT (-87.70865275272337 41.75024287340102)
22CP004888,P006068893|P006068894|P006068895|P006068896|P006068897|P006068898,3/9/2022,POLICE,5/6/2022 9:00,6445 S WASHTENAW ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"MARQUETTE BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.77589968,-87.6907258,POINT (-87.69072579922162 41.7758996847545)
